,actors_list,num_appearances,avg_critics_vote
651,Adele Legrá,1,9.5
652,Adele Longmire,1,8.0
653,Adele Mara,3,6.5083106075577675
654,Adele Markauskiene,1,7.0
655,Adele McCann,1,7.024814447519096
656,Adele Neuhauser,4,2.658553035032483
657,Adele Raes,2,5.502111213937674
658,Adele Reuter-Eichberg,1,6.5
659,Adele Robbins,2,7.285
660,Adele Sandrock,1,9.0
661,Adele Serra,1,6.0
662,Adele Silva,1,3.0
663,Adele Watson,1,7.5
664,Adelfa Calvo,4,7.1675
665,Adelia-Constance Ocleppo,1,5.0
666,Adeline Abitbol,1,3.540047523308329
667,Adeline Aucoc,1,7.22
668,Adeline De Walt Reynolds,1,6.75
669,Adeline Rebeillard,1,7.67
670,Adeline Walter,1,8.0
671,Adelio Zagonara,1,3.67
672,Adella Gautier,1,3.438624366941723
673,Adelle Lutz,1,7.35
674,Adelmo Di Fraia,1,7.75
675,Adelmo Togliani,2,5.875
676,Ademir Esteves,1,7.0
677,Aden Young,6,5.236666666666667
678,Adeola Ariyo,1,6.67
679,Adepero Oduye,5,5.95
680,Adesuwa Addy Iyare,1,7.0
681,Adetinpo Thomas,1,5.087410892070128
682,Adetokumboh M'Cormack,1,4.0
683,Adetomiwa Edun,1,4.91
684,Adewale Akinnuoye-Agbaje,11,5.429090909090909
685,Adhir Kalyan,4,4.642367090836588
686,Adi Bielski,1,7.0
687,Adi Hirschal,1,6.0
688,Adi Hostiuc,1,6.0
689,Adi Kvetner,1,6.384974117939175
690,Adi Schnall,1,6.33
691,Adiel Stein,1,8.0
692,Adil Akhmetov,1,6.0
693,Adil Hussain,4,6.320072497356452
694,Adil Zaidi,2,2.984217284002641
695,Adil' Turkbenbaev,1,7.33
696,Adila Bendimered,2,7.5
697,Adilé David,1,6.44
698,Adina Howard,1,3.67
699,Adina Porter,1,7.52
700,Adina Stetcu,1,6.014811875582742
701,Adina Vetter,1,5.0
702,Adipati Dolken,1,5.004691928492179
703,Adir Miller,1,6.0
704,Aditya Geddada,1,5.67
705,Aditya Kumar,1,7.5
706,Aditya Modak,1,6.25
707,Adiz Rajabov,1,6.0
708,Adjmal Sheerzoi,1,5.33
709,Adjoa Andoh,1,5.29
710,Adjovi Koene,1,5.004574553337972
711,Adlan Djemil,1,6.0
712,Adler Gray,2,4.35
713,Adlin Aman Ramlee,1,3.0
714,Adnan Afravian,1,8.67
715,Adnan Haskovic,3,5.31
716,Adnan Maral,3,3.354653401718892
717,Adnan Omerovic,1,7.33
718,Adnan Shah,1,5.5
719,Adnan Siddiqui,1,6.468984208213409
720,Adnan Zakir Hussain,1,7.0
721,Adolf Chronicki,1,7.5
722,Adolf E. Licho,1,7.0
723,Adolf Hitler,3,7.223333333333334
724,Adolf Klein,1,7.75
725,Adolf Paul,1,4.0
726,Adolf Ratzka,1,6.0
727,Adolfas Mekas,1,8.0
728,Adolfo Arrieta,1,6.0
729,Adolfo Assor,3,3.023325033175366
730,Adolfo Belletti,4,5.06248253703853
731,Adolfo Caruso,1,6.0
