,directors_list,num_appearances,avg_critics_vote
2759,David Gordon Green,13,5.825384615384616
9611,Paul Verhoeven,13,6.726923076923077
1772,Carlo Mazzacurati,13,6.65
276,Alberto Negrin,13,4.707692307692308
10494,Robert Harmon,13,5.622300859127303
7498,Luc Besson,13,5.8076923076923075
8811,Mike Newell,13,6.088136170142121
10686,Roger Donaldson,13,5.786153846153846
8744,Michele Soavi,13,4.638461538461538
6925,Keoni Waxman,13,4.140405838071276
2402,Cristina Comencini,13,5.322307692307692
7518,Luca Manfredi,13,4.1357124796442015
2906,Davide Ferrario,13,6.661538461538461
562,Allan Dwan,13,6.211933566176585
8868,Mira Nair,12,6.028333333333333
6157,John Delbridge,12,3.4250225018313514
2067,Christian Duguay,12,5.178275295754464
9778,Peter Sullivan,12,4.416909597021433
9706,Peter Farrelly,12,5.760833333333333
11928,Theo Anghelopoulos,12,6.63
2413,Curtis Crawford,12,4.360449426074912
5755,Jean-Marie Straub,12,7.66
6133,John Boorman,12,6.910833333333333
2011,Chris Columbus,12,5.288333333333333
5050,Henri-Georges Clouzot,12,7.660833333333334
442,Alex Zamm,12,4.463000927969996
12450,Vincent Sherman,12,6.335391422697074
12539,Walerian Borowczyk,12,5.723937608818317
11351,Silvio Soldini,12,6.906666666666666
12177,Tonino Ricci,12,3.1828510116774944
7062,Kristoffer Tabori,12,4.822534944313796
11478,Stefan Bartmann,12,2.3205819984074387
9612,Paul W.S. Anderson,12,5.00705140405032
11853,Tay Garnett,12,6.850877275972548
9864,Philippe Gagnon,12,4.951757345163519
12580,Wayne Wang,12,6.114166666666667
8989,Nando Cicero,12,4.326666666666667
1816,Carol Reed,12,7.245400989631896
11469,Stanley Kubrick,12,8.615
3022,Dick Lowry,12,5.666666666666667
1755,Carlo Campogalliani,12,3.8083333333333336
2359,Costa-Gavras,12,6.3525
3137,Donald Petrie,12,5.341666666666666
2560,Daniel Petrie,12,5.615725168230534
6494,Joseph Sargent,12,5.028193742388345
2091,Christie Will Wolf,12,5.731180722446282
5319,Ivan Reitman,12,5.215833333333333
9718,Peter Greenaway,12,7.25
6184,John Guillermin,12,6.033333333333334
9492,Patrice Leconte,12,6.201666666666667
5418,Jacques Tourneur,12,6.947858339975003
10096,Ralph Nelson,12,6.200833333333333
416,Alex Gibney,12,6.827454690063882
10601,Roberto Faenza,12,5.594166666666666
287,Alberto Sordi,12,5.13
4429,Gianfranco Albano,12,4.389166666666667
10456,Robert Bresson,12,8.360833333333334
4335,George Roy Hill,12,6.6000000000000005
3829,Ferzan Özpetek,12,5.546666666666667
4020,Franco Zeffirelli,12,4.854166666666667
3853,Flavio Mogherini,12,3.9483333333333337
226,Alan Rudolph,12,5.960378116828735
3448,Emir Kusturica,12,6.920000000000001
251,Albert Pyun,12,4.8325000000000005
10289,Richard Brooks,12,6.59
10197,Renato Castellani,12,6.8475
8106,Martha Coolidge,12,6.041666666666667
8377,Maurizio Lucidi,12,4.220833333333333
4812,Guido Chiesa,12,5.765000000000001
8380,Maurizio Ponzi,12,4.67
10957,Sam Wood,12,7.32
2996,Derek Jarman,11,7.65
7272,Leo McCarey,11,7.073636363636364
12532,W.S. Van Dyke,11,7.28591379725126
6462,Josef Von Sternberg,11,8.026363636363637
8633,Michael Radford,11,5.890909090909091
1637,Bruno Gaburro,11,3.3563636363636364
8846,Milos Forman,11,7.384545454545455
10228,René Clément,11,6.923636363636363
7202,Lav Diaz,11,7.5609090909090915
4286,Georg Wilhelm Pabst,11,7.143175854055423
7419,Lloyd Bacon,11,6.645454545454545
8851,Mimmo Calopresti,11,6.243636363636364
7874,Marco Tullio Giordana,11,6.337272727272727
4010,Franco Maresco,11,7.260935219771768
9144,Nicolas Roeg,11,6.922727272727273
8378,Maurizio Nichetti,11,5.989090909090908
10025,Quentin Tarantino,11,7.570909090909091
2730,David DeCoteau,11,4.172474812875871
3361,Elio Petri,11,7.070909090909091
12564,Wang Bing,11,7.52
1532,Brett Ratner,11,5.466363636363637
4068,Franklin J. Schaffner,11,6.476363636363636
9243,Norman Tokar,11,6.090909090909091
4058,Frank Tashlin,11,6.6872727272727275
2882,David W. Griffith,11,7.571818181818181
2886,David Weaver,11,4.0778594223573075
9731,Peter Jackson,11,6.737272727272727
11189,Sergio Bergonzelli,11,3.0454545454545454
2891,David Winning,11,4.669691726487946
11996,Tim Burton,11,7.27
2953,Delbert Mann,11,6.142700283059525
6961,Kevin Smith,11,5.456363636363637
10330,Richard Loncraine,11,5.9363636363636365
12325,Val Guest,11,6.398197744200723
8799,Mike Leigh,11,7.465513387160104
6613,Jules Dassin,11,6.968110580598679
11175,Sergei Loznitsa,11,6.922727272727273
2620,Danièle Huillet,11,7.75
7207,Lawrence Kasdan,11,6.782727272727272
4027,Frank Borzage,11,7.306716027959745
2623,Danny Boyle,11,5.97
5187,Hugo Fregonese,11,6.451334527593664
11212,Sergio Sollima,11,5.698181818181818
960,Antoine Fuqua,11,5.514545454545455
11517,Stefano Reali,11,3.090909090909091
4965,Hans-Jürgen Tögel,11,4.197959027759231
11900,Terry Gilliam,11,6.831818181818182
7607,Luigi Scattini,11,4.124549774846212
7890,Margarethe Von Trotta,11,6.320909090909091
2382,Craig R. Baxley,11,4.7947958587358315
10609,Roberto Mauri,11,2.772727272727273
5620,Jason Bourque,11,4.2046743121583665
6196,John Hough,11,5.245454545454546
7967,Mario Gariazzo,11,3.949550160887624
4471,Gianni Franciolini,11,5.61090909090909
4208,Garry Marshall,11,5.074545454545454
9616,Paul Weitz,11,5.765372403590447
10343,Richard Quine,11,7.069090909090909
4472,Gianni Grimaldi,11,3.7209090909090907
8881,Mitchell Leisen,11,7.143636363636364
3883,Francesca Archibugi,11,5.708181818181818
5119,Hirokazu Koreeda,11,7.58909090909091
7043,Kon Ichikawa,11,8.117256117859991
9479,Pasquale Scimeca,11,6.721844544493255
1678,Burt Kennedy,11,6.041397373691274
10948,Sam Peckinpah,11,7.6054545454545455
1856,Cecil B. DeMille,10,7.142465734903537
5692,Jean Delannoy,10,6.2408766768527215
3741,Fatih Akin,10,6.279999999999999
211,Alan J. Pakula,10,6.274
9752,Peter Medak,10,5.8553553617678675
2761,David Greene,10,5.6
127,Agnieszka Holland,10,6.071
11894,Terrence Malick,10,7.394
12459,Vincenzo Marra,10,6.401999999999999
2227,Claude Sautet,10,7.553999999999999
10677,Roel Reiné,10,4.022050023717442
5773,Jean-Pierre Melville,10,7.927
7312,Lesley Selander,10,5.337942872418658
1168,Aurelio Grimaldi,10,4.971
3420,Emeric Pressburger,10,7.995
3630,Ettore M. Fizzarotti,10,3.15
6549,José Luis Merino,10,4.700885654531378
9197,Ninì Grassia,10,2.275
2200,Claire Denis,10,7.339
5942,Jia Zhang-ke,10,7.322
12467,Vincenzo Salemme,10,3.974
4357,Georges Lautner,10,6.12
3744,Fausto Brizzi,10,3.785
4629,Giulio Petroni,10,4.285
7977,Mario Martone,10,6.997
5354,Jack Bender,10,5.2829999999999995
5377,Jack Smight,10,5.446
12518,Volfango De Biasi,10,4.401
6491,Joseph Pevney,10,5.6843686508620745
7954,Mario Bianchi,10,2.566
2669,Darren Lynn Bousman,10,4.987474716760957
9169,Nikita Mikhalkov,10,6.648000000000001
10114,Randal Kleiser,10,5.373
4672,Giuseppe Tornatore,10,6.273999999999999
1635,Bruno Dumont,10,7.598999999999999
4726,Graeme Campbell,10,5.510113455208405
3681,F.W. Murnau,10,8.174
10222,Renzo Martinelli,10,3.55
4287,George A. Romero,10,6.6930000000000005
4818,Guido Malatesta,10,3.05
2295,Clive Donner,10,5.911
7006,Kira Muratova,10,7.55
10701,Roland Joffé,10,5.7170000000000005
8541,Michael Gordon,10,6.8260000000000005
7142,Larry Ludman (Fabrizio De Angelis),10,3.258
2554,Daniel Mann,10,6.005
832,Ang Lee,10,6.815
12318,Uwe Boll,10,3.8998125177510268
1739,Carl Reiner,10,6.434
1845,Catherine Breillat,10,6.243
5903,Jerzy Skolimowski,10,7.167
5898,Jerry Schatzberg,10,5.811
6310,John Waters,10,6.536
3945,Francesco Miccichè,10,4.867
5674,Jay Roach,10,5.4990000000000006
10099,Ralph Thomas,10,5.7
10694,Roger Vadim,10,4.976999999999999
9696,Peter DeLuise,10,4.126803467788273
6477,Joseph Kane,10,5.228366833672678
11855,Taylor Hackford,10,6.361005523911739
9693,Peter Collinson,10,4.85
9594,Paul Schneider,10,5.267
11300,Shohei Imamura,10,7.797
802,André Téchiné,10,6.968000000000001
2414,Curtis Hanson,10,6.308
8453,Mel Brooks,10,6.294
9021,Nathan Juran,10,5.936691984001776
443,Alex de la Iglesia,10,6.273
8116,Martin Campbell,10,5.5009999999999994
9043,Neill Fearnley,10,4.397145140515759
9282,Oliver Dommenget,10,4.282829041337307
6149,John Cassavetes,10,7.691
3264,Edmund Goulding,10,7.134
941,Anthony M. Dawson (Antonio Margheriti),10,4.3
3106,Don Bluth,10,6.578
12404,Victor Fleming,10,7.595000000000001
11802,Takashi Shimizu,10,5.259028741748945
8454,Mel Damski,10,5.1749654487723085
3316,Edwin L. Marin,10,6.043994823587835
9357,Otto Retzer,10,3.103506132206812
1362,Bill Condon,10,5.478
3045,Dieter Kehler,10,3.8672821978512912
4395,Giacomo Gentilomo,10,4.45
10470,Robert Day,10,4.99086744621864
6907,Kenneth Branagh,10,6.4510000000000005
4391,Giacomo Campiotti,10,4.4159999999999995
359,Alessandro Benvenuti,10,5.881
9787,Peter Weir,10,7.242
7549,Luciano Emmer,10,6.189
12113,Tom McLoughlin,10,5.3950000000000005
8047,Mark L. Lester,10,5.073028741748945
9046,Nello Rossati,10,3.857
1216,Barbet Schroeder,10,6.545
10258,Riccardo Donna,10,4.873718836217778
2157,Christopher Nolan,10,7.296000000000001
6882,Ken Annakin,10,5.95
12632,William Castle,10,5.964367613670559
9942,Pierre Granier-Deferre,10,6.9799999999999995
3233,E.B. Clucher (Enzo Barboni),10,5.4799999999999995
5022,Hayao Miyazaki,10,8.239
8416,Max Ophüls,10,8.068000000000001
8668,Michael Switzer,10,5.0
4110,Fred Schepisi,10,5.953
5278,Isaac Florentine,10,5.735633467491132
1884,Chang Cheh,10,6.6
2977,Dennis Dugan,10,4.104
10280,Richard Attenborough,10,6.056
11689,Stuart Gordon,10,6.0
10284,Richard Benjamin,10,5.114
10201,Renato Polselli,9,3.4444444444444446
10794,Roy William Neill,9,6.078756077446932
813,Andy Fickman,9,4.211365003294118
7767,Marc Forster,9,6.093333333333334
7122,Lamont Johnson,9,5.9255555555555555
1108,Arthur Lubin,9,5.666666666666667
706,Andrei Tarkovsky,9,8.081111111111111
5159,Howard Deutch,9,5.573333333333333
297,Aldo Grimaldi,9,2.9299999999999997
685,Andrea Segre,9,6.760950302251278
681,Andrea Porporati,9,5.157777777777778
9148,Nicolas Winding Refn,9,6.786666666666666
8074,Mark Rydell,9,6.113333333333333
3885,Francesca Comencini,9,6.5811111111111105
2604,Daniele Luchetti,9,5.756666666666667
3951,Francesco Patierno,9,6.241183028751238
4389,Giacomo Battiato,9,4.937201319509193
5157,Hou Hsiao-hsien,9,6.865555555555556
4697,Goffredo Alessandrini,9,5.11
978,Antonello Grimaldi,9,4.8311111111111105
12520,Volker Schlöndorff,9,6.493215768105282
8468,Melvin Frank,9,5.795555555555556
10791,Roy Rowland,9,6.518888888888889
10199,Renato De Maria,9,5.523203783159637
2381,Craig Pryce,9,2.8173841513641924
7790,Marcel Carné,9,7.203333333333333
3979,Francis Veber,9,6.446666666666667
1803,Carlos Saura,9,6.036033342188893
4642,Giuseppe De Santis,9,6.886666666666667
790,André Cayatte,9,6.777777777777778
11862,Ted Kotcheff,9,6.387777777777778
